rank,score,title,format,hook,keyword,proof_link,cover_concept
17,60,"I Got Ghosted 7 Times in a Row - Here's How I Rebuilt",EXPERIENCE,"Seven ghosts in a row almost broke me.","getting over being ghosted",,"Ace waving at fading ghosts"
18,60,"The 'You're Too Sensitive' Playbook (Gaslighting 101)",RUN,"'You're too sensitive' is a strategy, not an opinion.","gaslighting phrases",,"Ace suspicious, giant gas lamp"
19,60,"Green Flags Nobody Claps For",LOOK,"Boring is the most underrated green flag.","green flags in dating",,"Ace confident raising green flag"
20,59,"The Green Flag Hidden in How They Argue",LOOK,"Watch how they fight, not how they flirt.","healthy conflict relationship",,"Ace between speech bubbles shaking hands"
21,59,"What I'd Do Differently in My First Year on Dating Apps",DIFFERENT,"A year of swiping taught me five expensive lessons.","dating app tips beginners",,"Ace facepalm over flaming phone"
22,59,"If They Do This After a Fight - Keep Them",LOOK,"The relationship is decided after the fight.","signs of a keeper",,"Ace smitten, band-aid heart"
23,59,"Your Dating Profile Photos Are Lying About You (Fix These 3)",DO,"Your third photo is costing you matches.","dating profile photo tips",,"Ace with framed photo, red X marks"
24,58,"The 2-Date Rule That Saves You Months",DO,"Two dates. That's all you need to know.","how many dates to know",,"Ace neutral, giant number 2"
25,58,"Double-Texting: The Actual Math of When It's Fine",DONT,"Double-texting isn't desperate. Triple is.","double texting rules",,"Ace suspicious at stacked bubbles"
26,58,"First Message Formulas That Don't Sound Like Everyone Else",DO,"'Hey' is why nobody answers you.","first message dating app",,"Ace confident, sparkling chat bubble"
27,58,"The Nicest Person I Dated Was Also the Worst for Me",EXPERIENCE,"Nice and good are not the same thing.","nice guy red flag",,"Ace shocked, halo slipping off heart"
28,58,"Consistency Beats Chemistry: The 3-Week Test",LOOK,"Chemistry lies. Three weeks of consistency doesn't.","chemistry vs compatibility",,"Ace neutral, spark vs steady flame"
29,57,"How They Treat the Waiter Isn't Enough - Watch This Instead",LOOK,"Everyone's nice to the waiter on date one.","character test date",,"Ace suspicious behind menu"
30,57,"Texts I Sent at 2am That I'd Unsend Today",DIFFERENT,"Here's every 2am text I regret.","drunk texting ex",,"Ace facepalm, moon and phone glow"
31,56,"Stop Planning Mega-Dates: First Dates Should Cost Under $20",DONT,"Your $200 first date is working against you.","first date ideas cheap",,"Ace with coffee cups, $7 price tag"
32,56,"Boring Dates Are a Green Flag (Hear Me Out)",LOOK,"If the date felt calm, that's not a problem.","secure attachment dating",,"Ace smitten on park bench, green flag"
33,55,"How to End a Date Early Without Being a Jerk",DO,"You're allowed to leave a bad date.","how to end a date",,"Ace waving politely at the door"
